slippage,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 14:15:00+00:00,2025-05-27 14:17:00+00:00,21356.2500,2025-05-27 18:17:00+00:00,21469.2500,time_exit,36.4955,21283.2589,21538.7277,113.0000,1.5481,2025-05-27 14:17:00.125220675+00:00,21356.2500,2025-05-27 19:14:59.834210737+00:00,21434.3750,time_exit,1.0703,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 14:15:00+00:00,2025-05-27 14:17:00+00:00,5897.2500,2025-05-27 18:01:00+00:00,5938.2991,target,8.2098,5880.8304,5938.2991,41.0491,2.5000,2025-05-27 14:17:00.015408575+00:00,5897.2500,2025-05-27 18:01:13.669730061+00:00,5938.2991,target,2.5000,2025-05-27 18:01:13.669730061+00:00,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 14:30:00+00:00,2025-05-27 14:32:00+00:00,5906.0000,2025-05-27 18:32:00+00:00,5933.0000,time_exit,8.7188,5888.5625,5949.5938,27.0000,1.5484,2025-05-27 14:32:00.020620119+00:00,5906.0000,2025-05-27 19:29:59.918666605+00:00,5928.3750,time_exit,1.2832,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 15:30:00+00:00,2025-05-27 15:32:00+00:00,5913.2500,2025-05-27 19:32:00+00:00,5926.0000,time_exit,8.3438,5896.5625,5954.9688,12.7500,0.7640,2025-05-27 15:32:00.023148941+00:00,5913.2500,2025-05-27 20:29:57.963411587+00:00,5938.6250,time_exit,1.5206,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 15:00:00+00:00,2025-05-27 15:02:00+00:00,21365.2500,2025-05-27 19:02:00+00:00,21436.7500,time_exit,35.4241,21294.4018,21542.3705,71.5000,1.0092,2025-05-27 15:02:00.059410043+00:00,21365.2500,2025-05-27 19:59:59.986899521+00:00,21466.1250,time_exit,1.4238,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 15:00:00+00:00,2025-05-27 15:02:00+00:00,5907.7500,2025-05-27 19:02:00+00:00,5930.0000,time_exit,8.0893,5891.5714,5948.1964,22.2500,1.3753,2025-05-27 15:02:00.012923473+00:00,5907.7500,2025-05-27 19:59:59.999957341+00:00,5936.1250,time_exit,1.7539,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 16:00:00+00:00,2025-05-27 16:04:00+00:00,21407.0000,2025-05-27 20:04:00+00:00,21447.7500,time_exit,36.3080,21334.3839,21588.5402,40.7500,0.5612,2025-05-27 16:04:00.001454847+00:00,21407.0000,2025-05-27 20:59:58.434496261+00:00,21476.0000,time_exit,0.9502,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 16:15:00+00:00,2025-05-27 16:17:00+00:00,21417.0000,2025-05-27 20:17:00+00:00,21469.2500,time_exit,35.3438,21346.3125,21593.7188,52.2500,0.7392,2025-05-27 16:17:00.195148285+00:00,21417.0000,2025-05-27 20:59:58.434496261+00:00,21476.0000,time_exit,0.8347,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 16:15:00+00:00,2025-05-27 16:21:00+00:00,5919.2500,2025-05-27 20:21:00+00:00,5939.7500,time_exit,8.1429,5902.9643,5959.9643,20.5000,1.2588,2025-05-27 16:21:00.023216873+00:00,5919.2500,2025-05-27 20:59:59.577301183+00:00,5940.5000,time_exit,1.3048,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 16:00:00+00:00,2025-05-27 16:02:00+00:00,5916.5000,2025-05-27 20:02:00+00:00,5933.5000,time_exit,8.2902,5899.9196,5957.9509,17.0000,1.0253,2025-05-27 16:02:00.010409111+00:00,5916.5000,2025-05-27 20:59:59.577301183+00:00,5940.5000,time_exit,1.4475,,,
