variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-09 22:00:00+00:00,2025-07-09 22:02:00+00:00,23040.5000,2025-07-10 02:02:00+00:00,23002.2500,time_exit,34.5000,22971.5000,23213.0000,-38.2500,-0.5543,2025-07-09 22:02:01.718129393+00:00,23040.5000,2025-07-10 02:59:55.012091203+00:00,23018.5000,time_exit,-0.3188,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-09 22:00:00+00:00,2025-07-09 22:02:00+00:00,6305.7500,2025-07-10 02:02:00+00:00,6295.7500,time_exit,7.6473,6290.4554,6343.9866,-10.0000,-0.6538,2025-07-09 22:02:02.068649569+00:00,6305.7500,2025-07-10 02:59:55.009523115+00:00,6298.1250,time_exit,-0.4985,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-10 00:00:00+00:00,2025-07-10 00:02:00+00:00,23027.0000,2025-07-10 04:02:00+00:00,22996.0000,time_exit,21.5491,22983.9018,23134.7455,-31.0000,-0.7193,2025-07-10 00:02:00.007681455+00:00,23027.0000,2025-07-10 04:59:55.220617125+00:00,22995.1250,time_exit,-0.7396,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-10 00:00:00+00:00,2025-07-10 00:02:00+00:00,6301.5000,2025-07-10 04:02:00+00:00,6292.5000,time_exit,5.1562,6291.1875,6327.2812,-9.0000,-0.8727,2025-07-10 00:02:00.007962005+00:00,6301.5000,2025-07-10 04:05:52.128571233+00:00,6291.0000,stop,-1.0182,,2025-07-10 04:05:52.128571233+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-10 06:00:00+00:00,2025-07-10 06:07:00+00:00,22985.5000,2025-07-10 09:03:00+00:00,23048.7143,target,12.6429,22960.2143,23048.7143,63.2143,2.5000,2025-07-10 06:07:09.688755021+00:00,22986.0000,2025-07-10 09:03:13.925806315+00:00,23048.7143,target,2.4321,2025-07-10 09:03:13.925806315+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-10 08:00:00+00:00,2025-07-10 08:02:00+00:00,6295.0000,2025-07-10 11:42:00+00:00,6309.3973,target,2.8795,6289.2411,6309.3973,14.3973,2.5000,2025-07-10 08:02:01.023732013+00:00,6295.0000,2025-07-10 11:42:22.585616195+00:00,6309.3973,target,2.5000,2025-07-10 11:42:22.585616195+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-10 14:00:00+00:00,2025-07-10 14:02:00+00:00,22925.7500,2025-07-10 14:40:00+00:00,22976.6429,stop,25.4464,22976.6429,22798.5179,-50.8929,-1.0000,2025-07-10 14:02:00.013156137+00:00,22925.2500,2025-07-10 14:40:55.211713353+00:00,22976.2500,stop,-0.9924,,2025-07-10 14:40:55.211713353+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-10 14:00:00+00:00,2025-07-10 14:03:00+00:00,6299.2500,2025-07-10 15:43:00+00:00,6323.5580,target,4.8616,6289.5268,6323.5580,24.3080,2.5000,2025-07-10 14:03:00.017678999+00:00,6299.2500,2025-07-10 15:43:50.953199297+00:00,6323.5580,target,2.5000,2025-07-10 15:43:50.953199297+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-10 16:00:00+00:00,2025-07-10 16:02:00+00:00,6323.7500,2025-07-10 20:02:00+00:00,6324.5000,time_exit,5.7991,6312.1518,6352.7455,0.7500,0.0647,2025-07-10 16:02:00.019429761+00:00,6323.7500,2025-07-10 20:59:59.242114581+00:00,6321.3750,time_exit,-0.2048,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-10 22:00:00+00:00,2025-07-10 22:02:00+00:00,23013.0000,2025-07-11 00:26:00+00:00,22874.1161,target,27.7768,23068.5536,22874.1161,138.8839,2.5000,2025-07-10 22:02:00.530398559+00:00,23013.0000,2025-07-11 00:26:37.260917243+00:00,22874.1161,target,2.5000,2025-07-11 00:26:37.260917243+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-10 22:00:00+00:00,2025-07-10 22:04:00+00:00,6323.2500,2025-07-11 00:18:00+00:00,6311.8661,stop,5.6920,6311.8661,6351.7098,-11.3839,-1.0000,2025-07-10 22:04:01.297946329+00:00,6323.5000,2025-07-11 00:18:12.501700063+00:00,6311.7500,stop,-1.0100,,2025-07-11 00:18:12.501700063+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-07-11 00:00:00+00:00,2025-07-11 00:02:00+00:00,6325.2500,2025-07-11 00:23:00+00:00,6302.4821,target,4.5536,6334.3571,6302.4821,22.7679,2.5000,2025-07-11 00:02:00.072160557+00:00,6325.2500,2025-07-11 00:23:03.164217813+00:00,6302.4821,target,2.5000,2025-07-11 00:23:03.164217813+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-11 00:00:00+00:00,2025-07-11 00:02:00+00:00,23024.7500,2025-07-11 00:23:00+00:00,22922.2946,target,20.4911,23065.7321,22922.2946,102.4554,2.5000,2025-07-11 00:02:00.125297883+00:00,23024.7500,2025-07-11 00:23:13.686672795+00:00,22922.2946,target,2.5000,2025-07-11 00:23:13.686672795+00:00,,
