config,signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-02-20 23:00:00+00:00,0.9509,1,2022-02-20 23:02:00+00:00,4318.0000,2022-02-20 23:07:00+00:00,4326.2768,stop,5.5179,4326.2768,4301.4464,-8.2768,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-02-20 23:00:00+00:00,0.9509,1,2022-02-20 23:02:00+00:00,4318.0000,2022-02-20 23:07:00+00:00,4326.2768,stop,5.5179,4326.2768,4301.4464,-8.2768,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-02-27 23:00:00+00:00,0.9437,1,2022-02-27 23:03:00+00:00,4262.0000,2022-02-27 23:04:00+00:00,4267.6250,stop,3.7500,4267.6250,4250.7500,-5.6250,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-02-27 23:00:00+00:00,0.9437,1,2022-02-27 23:03:00+00:00,4262.0000,2022-02-27 23:04:00+00:00,4267.6250,stop,3.7500,4267.6250,4250.7500,-5.6250,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-03-06 23:00:00+00:00,0.9432,1,2022-03-06 23:03:00+00:00,4287.0000,2022-03-06 23:04:00+00:00,4271.4107,target,5.1964,4294.7946,4271.4107,15.5893,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-03-06 23:00:00+00:00,0.9432,1,2022-03-06 23:03:00+00:00,4287.0000,2022-03-06 23:04:00+00:00,4271.4107,target,5.1964,4294.7946,4271.4107,15.5893,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-05-08 22:00:00+00:00,0.9608,1,2022-05-08 22:02:00+00:00,4090.5000,2022-05-09 00:35:00+00:00,4072.1250,target,6.1250,4099.6875,4072.1250,18.3750,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-05-08 22:00:00+00:00,0.9608,1,2022-05-08 22:02:00+00:00,4090.5000,2022-05-09 00:35:00+00:00,4072.1250,target,6.1250,4099.6875,4072.1250,18.3750,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,NQ.c.0,gap_down,short,2022-06-12 22:00:00+00:00,0.9256,1,2022-06-12 22:02:00+00:00,11695.7500,2022-06-12 22:06:00+00:00,11720.8214,stop,16.7143,11720.8214,11645.6071,-25.0714,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-06-12 22:00:00+00:00,0.9765,1,2022-06-12 22:02:00+00:00,3868.2500,2022-06-13 00:43:00+00:00,3850.5714,target,5.8929,3877.0893,3850.5714,17.6786,2.0000
