slippage,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,family,entry_hour_utc
primary_2tick,2018,ES.c.0,low,short,2018-11-19 14:00:00+00:00,2018-11-19 14:04:00+00:00,2730.0,2018-11-19 15:23:00+00:00,2711.6518,target,3.6696,2737.3393,2711.6518,18.3482,2.5,Sweep reversed (filtered),14.0
primary_2tick,2018,NQ.c.0,low,short,2018-11-19 16:00:00+00:00,2018-11-19 16:03:00+00:00,6765.75,2018-11-19 18:15:00+00:00,6659.2768,target,21.2946,6808.3393,6659.2768,106.4732,2.5,Sweep reversed (filtered),16.0
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-20 01:00:00+00:00,2018-11-20 01:03:00+00:00,6644.75,2018-11-20 05:03:00+00:00,6642.75,time_exit,21.2812,6602.1875,6751.1562,-2.0,-0.047,OB strict,
primary_2tick,2018,ES.c.0,low,short,2018-11-20 07:00:00+00:00,2018-11-20 07:02:00+00:00,2688.75,2018-11-20 11:02:00+00:00,2676.25,time_exit,3.1205,2694.9911,2673.1473,12.5,2.0029,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,low,short,2018-11-20 12:00:00+00:00,2018-11-20 12:03:00+00:00,2674.5,2018-11-20 14:11:00+00:00,2652.7366,target,4.3527,2683.2054,2652.7366,21.7634,2.5,Sweep reversed (filtered),12.0
primary_2tick,2018,ES.c.0,low,short,2018-11-20 15:00:00+00:00,2018-11-20 15:03:00+00:00,2647.25,2018-11-20 15:41:00+00:00,2661.1429,stop,6.6964,2660.6429,2613.7679,-13.8929,-1.0373,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bullish,long,2018-11-20 16:00:00+00:00,2018-11-20 16:06:00+00:00,2662.25,2018-11-20 18:19:00+00:00,2646.2679,stop,7.7411,2646.7679,2700.9554,-15.9821,-1.0323,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-21 00:00:00+00:00,2018-11-21 00:02:00+00:00,2638.75,2018-11-21 04:02:00+00:00,2648.5,time_exit,8.8661,2621.0179,2683.0804,9.75,0.5498,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-21 04:00:00+00:00,2018-11-21 04:03:00+00:00,2649.25,2018-11-21 08:03:00+00:00,2651.75,time_exit,4.7411,2639.7679,2672.9554,2.5,0.2637,OB strict,
primary_2tick,2018,ES.c.0,low,short,2018-11-21 08:00:00+00:00,2018-11-21 08:03:00+00:00,2653.5,2018-11-21 08:54:00+00:00,2659.8393,stop,2.9196,2659.3393,2638.9018,-6.3393,-1.0856,Sweep reversed (filtered),8.0
primary_2tick,2018,ES.c.0,bullish,long,2018-11-21 09:00:00+00:00,2018-11-21 09:05:00+00:00,2657.5,2018-11-21 10:37:00+00:00,2650.7054,stop,3.1473,2651.2054,2673.2366,-6.7946,-1.0794,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-11-21 15:00:00+00:00,2018-11-21 15:03:00+00:00,6633.0,2018-11-21 15:12:00+00:00,6591.1161,stop,20.692,6591.6161,6736.4598,-41.8839,-1.0121,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,high,long,2018-11-21 16:00:00+00:00,2018-11-21 16:03:00+00:00,2660.75,2018-11-21 20:03:00+00:00,2662.5,time_exit,5.3839,2649.9821,2687.6696,1.75,0.1625,Sweep reversed (filtered),16.0
primary_2tick,2018,ES.c.0,bearish,short,2018-11-22 01:00:00+00:00,2018-11-22 01:03:00+00:00,2654.25,2018-11-22 05:03:00+00:00,2653.0,time_exit,3.7634,2661.7768,2635.433,1.25,0.1661,OB strict,
primary_2tick,2018,ES.c.0,low,short,2018-11-22 08:00:00+00:00,2018-11-22 08:03:00+00:00,2649.0,2018-11-22 09:27:00+00:00,2636.6786,target,2.4643,2653.9286,2636.6786,12.3214,2.5,Sweep reversed (filtered),8.0
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-22 11:00:00+00:00,2018-11-22 11:03:00+00:00,6540.0,2018-11-22 15:03:00+00:00,6547.5,time_exit,9.9107,6520.1786,6589.5536,7.5,0.3784,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-22 16:00:00+00:00,2018-11-22 16:02:00+00:00,2634.0,2018-11-22 16:19:00+00:00,2626.75,stop,3.375,2627.25,2650.875,-7.25,-1.0741,OB strict,
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-22 17:00:00+00:00,2018-11-22 17:05:00+00:00,6528.5,2018-11-22 17:59:00+00:00,6520.5,time_exit,11.3036,6505.8929,6585.0179,-8.0,-0.3539,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-22 23:00:00+00:00,2018-11-22 23:04:00+00:00,2637.5,2018-11-23 03:04:00+00:00,2642.25,time_exit,3.2545,2630.9911,2653.7723,4.75,0.7298,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-23 04:00:00+00:00,2018-11-23 04:12:00+00:00,2641.75,2018-11-23 05:52:00+00:00,2635.3304,stop,2.9598,2635.8304,2656.5491,-6.4196,-1.0845,OB strict,
primary_2tick,2018,ES.c.0,low,short,2018-11-23 07:00:00+00:00,2018-11-23 07:03:00+00:00,2636.5,2018-11-23 07:53:00+00:00,2641.4196,stop,2.2098,2640.9196,2625.4509,-4.9196,-1.1131,Sweep reversed (filtered),7.0
primary_2tick,2018,NQ.c.0,bullish,long,2018-11-23 08:00:00+00:00,2018-11-23 08:02:00+00:00,6546.5,2018-11-23 10:51:00+00:00,6530.8661,stop,7.567,6531.3661,6584.3348,-15.6339,-1.033,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-11-23 12:00:00+00:00,2018-11-23 12:03:00+00:00,6545.25,2018-11-23 13:35:00+00:00,6520.7768,stop,11.9866,6521.2768,6605.183,-24.4732,-1.0209,Sweep reversed (filtered),12.0
primary_2tick,2018,NQ.c.0,high,long,2018-11-23 14:00:00+00:00,2018-11-23 14:02:00+00:00,6527.5,2018-11-23 14:57:00+00:00,6598.4821,target,14.1964,6499.1071,6598.4821,70.9821,2.5,Sweep reversed (filtered),14.0
primary_2tick,2018,NQ.c.0,bearish,short,2018-11-23 15:00:00+00:00,2018-11-23 15:02:00+00:00,6582.75,2018-11-23 18:14:00+00:00,6531.0,time_exit,17.3705,6617.4911,6495.8973,51.75,1.4896,OB strict,
