matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
tp_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.next_period.thesis_confirmed,0.7326,2758.0000,1826.0000,151.6435,0.0830,0.5619,29.4463,5.0000,1826.0000,-147.5239,-0.0808,0.4157,156.9681,0.0000,178.0000,8.7124,0.0489,0.5506,natural,151.6435,0.0830,5.0000,8.7124,False,
tp_snapshots_xctx_fvggeom_obgeom,at_fire,bullish,label.next_period.took_parent_high,0.7326,2758.0000,1826.0000,151.6435,0.0830,0.5619,29.4463,5.0000,1826.0000,-147.5239,-0.0808,0.4157,156.9681,0.0000,178.0000,8.7124,0.0489,0.5506,natural,151.6435,0.0830,5.0000,8.7124,False,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,high,label.manipulation_range_reaction.one_sided_took_manipulation_high,0.7243,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,high,label.manipulation_range_reaction.took_manipulation_low,0.7239,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom,at_fire,high,label.manipulation_range_reaction.one_sided_took_manipulation_high,0.7231,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,low,label.manipulation_range_reaction.took_manipulation_high,0.7224,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
sweep_snapshots_xctx_fvggeom,at_fire,high,label.manipulation_range_reaction.took_manipulation_low,0.7208,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,low,label.manipulation_range_reaction.one_sided_took_manipulation_low,0.7208,10006.0000,6564.0000,-1568.3639,-0.2389,0.3510,1568.9881,0.0000,6564.0000,2192.0893,0.3340,0.5105,25.1509,6.0000,676.0000,-187.5324,-0.2774,0.3269,reversed,2192.0893,0.3340,6.0000,187.5324,True,
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.no_touch_continuation,0.7195,106156.0000,69313.0000,10420.5402,0.1503,0.4886,90.9709,6.0000,69315.0000,-9430.5317,-0.1361,0.3653,9429.7426,0.0000,6930.0000,1188.6319,0.1715,0.4973,natural,10420.5402,0.1503,6.0000,1188.6319,True,
fvg_snapshots_xctx_fvggeom_obgeom_strict,at_fire,all,label.strict.forward_10c.after_tap_failed_1x_against,0.7186,106156.0000,69313.0000,10420.5402,0.1503,0.4886,90.9709,6.0000,69315.0000,-9430.5317,-0.1361,0.3653,9429.7426,0.0000,6930.0000,1188.6319,0.1715,0.4973,natural,10420.5402,0.1503,6.0000,1188.6319,True,
