matrix,snapshot,side,label,auc,n_events,B_nat_n,B_nat_cum_r,B_nat_avg_r,B_nat_win,B_nat_dd,B_nat_yrs_pos,B_rev_n,B_rev_cum_r,B_rev_avg_r,B_rev_win,B_rev_dd,B_rev_yrs_pos,D_n,D_cum_r,D_avg_r,D_win,winning_dir,winning_cum_r,winning_avg_r,winning_yrs_pos,D_cum_r_aligned,is_type_b,skip_reason
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,high,label.manipulation_range_reaction.one_sided_took_manipulation_high,0.7243,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom,at_fire,high,label.swept_level_recovery.level_recovered,0.7719,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom,at_fire,high,label.manipulation_range_reaction.one_sided_took_manipulation_high,0.7231,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,high,label.manipulation_range_reaction.took_manipulation_low,0.7239,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom,at_fire,high,label.ob_confirmation.did_confirm,0.8990,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_fire,high,label.swept_reference_reaction.first_bar_down_then_final_up,0.8258,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
sweep_snapshots_xctx_fvggeom_obgeom,at_fire,high,label.ob_confirmation.did_confirm,0.8983,11830.0000,7977.0000,-1618.9715,-0.2030,0.3381,1625.6570,0.0000,7977.0000,2169.9565,0.2720,0.5370,16.4537,6.0000,787.0000,-128.6681,-0.1635,0.3482,reversed,2169.9565,0.2720,6.0000,128.6681,True,
vp_snapshots_xctx,at_fire,buying,label.vwap_touch.resistance_break_acceptance_3bar,0.8869,4463.0000,3037.0000,1013.3367,0.3337,0.5617,13.5307,6.0000,3037.0000,-900.0198,-0.2964,0.2855,903.4201,0.0000,307.0000,112.6697,0.3670,0.6026,natural,1013.3367,0.3337,6.0000,112.6697,True,
vp_snapshots_xctx,at_fire,buying,label.vwap_touch.resistance_rejection_3bar,0.8863,4463.0000,3037.0000,1013.3367,0.3337,0.5617,13.5307,6.0000,3037.0000,-900.0198,-0.2964,0.2855,903.4201,0.0000,307.0000,112.6697,0.3670,0.6026,natural,1013.3367,0.3337,6.0000,112.6697,True,
vp_snapshots_xctx,at_fire,buying,label.vah_touch.resistance_rejection_3bar,0.9039,4463.0000,3037.0000,1013.3367,0.3337,0.5617,13.5307,6.0000,3037.0000,-900.0198,-0.2964,0.2855,903.4201,0.0000,307.0000,112.6697,0.3670,0.6026,natural,1013.3367,0.3337,6.0000,112.6697,True,
vp_snapshots_xctx,at_fire,buying,label.vah_touch.resistance_break_acceptance_3bar,0.9175,4463.0000,3037.0000,1013.3367,0.3337,0.5617,13.5307,6.0000,3037.0000,-900.0198,-0.2964,0.2855,903.4201,0.0000,307.0000,112.6697,0.3670,0.6026,natural,1013.3367,0.3337,6.0000,112.6697,True,
vp_snapshots_xctx,at_fire,selling,label.vah_touch.resistance_break_acceptance_3bar,0.9162,3226.0000,2165.0000,638.2928,0.2948,0.5289,11.8804,6.0000,2165.0000,-598.0997,-0.2763,0.3173,599.8063,0.0000,217.0000,71.4139,0.3291,0.5300,natural,638.2928,0.2948,6.0000,71.4139,True,
vp_snapshots_xctx,at_fire,selling,label.vwap_touch.support_break_acceptance_3bar,0.8775,3226.0000,2165.0000,638.2928,0.2948,0.5289,11.8804,6.0000,2165.0000,-598.0997,-0.2763,0.3173,599.8063,0.0000,217.0000,71.4139,0.3291,0.5300,natural,638.2928,0.2948,6.0000,71.4139,True,
vp_snapshots_xctx,at_fire,selling,label.val_touch.support_break_acceptance_3bar,0.8744,3226.0000,2165.0000,638.2928,0.2948,0.5289,11.8804,6.0000,2165.0000,-598.0997,-0.2763,0.3173,599.8063,0.0000,217.0000,71.4139,0.3291,0.5300,natural,638.2928,0.2948,6.0000,71.4139,True,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,all,label.n1_primary_took_period_n_low,0.9601,1349.0000,960.0000,-279.4969,-0.2911,0.3125,280.2581,0.0000,960.0000,344.4130,0.3588,0.5938,5.4873,6.0000,96.0000,-37.6453,-0.3921,0.2708,reversed,344.4130,0.3588,6.0000,37.6453,True,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,all,label.n1_close_moved_with_thesis,0.9459,1349.0000,960.0000,-279.4969,-0.2911,0.3125,280.2581,0.0000,960.0000,344.4130,0.3588,0.5938,5.4873,6.0000,96.0000,-37.6453,-0.3921,0.2708,reversed,344.4130,0.3588,6.0000,37.6453,True,
smt_previous_day_snapshots_xctx_fvggeom,at_period_close,all,label.n1_or_n2_thesis_confirmed_strict,0.8848,1349.0000,960.0000,-279.4969,-0.2911,0.3125,280.2581,0.0000,960.0000,344.4130,0.3588,0.5938,5.4873,6.0000,96.0000,-37.6453,-0.3921,0.2708,reversed,344.4130,0.3588,6.0000,37.6453,True,
smt_previous_day_snapshots_xctx_fvggeom_obgeom_liqgeom_regime,at_period_close,all,label.n1_primary_took_period_n_high,0.9581,1349.0000,960.0000,-279.4969,-0.2911,0.3125,280.2581,0.0000,960.0000,344.4130,0.3588,0.5938,5.4873,6.0000,96.0000,-37.6453,-0.3921,0.2708,reversed,344.4130,0.3588,6.0000,37.6453,True,
smt_previous_day_snapshots_xctx_fvggeom,at_period_close,all,label.n1_thesis_confirmed_strict,0.9549,1349.0000,960.0000,-279.4969,-0.2911,0.3125,280.2581,0.0000,960.0000,344.4130,0.3588,0.5938,5.4873,6.0000,96.0000,-37.6453,-0.3921,0.2708,reversed,344.4130,0.3588,6.0000,37.6453,True,
smt_previous_day_snapshots_xctx_fvggeom,at_period_close,all,label.n2_thesis_confirmed_strict,0.7529,1331.0000,948.0000,-275.2172,-0.2903,0.3133,275.1179,0.0000,948.0000,337.3900,0.3559,0.5928,6.1146,6.0000,90.0000,-29.8511,-0.3317,0.2889,reversed,337.3900,0.3559,6.0000,29.8511,True,
tp_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.next_period.took_parent_high,0.8083,5151.0000,3384.0000,301.8273,0.0892,0.5461,19.0992,6.0000,3384.0000,-274.0121,-0.0810,0.4353,285.1350,0.0000,362.0000,30.8376,0.0852,0.5718,natural,301.8273,0.0892,6.0000,30.8376,True,
tp_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.next_period.took_parent_low,0.7854,5151.0000,3384.0000,301.8273,0.0892,0.5461,19.0992,6.0000,3384.0000,-274.0121,-0.0810,0.4353,285.1350,0.0000,362.0000,30.8376,0.0852,0.5718,natural,301.8273,0.0892,6.0000,30.8376,True,
tp_snapshots_xctx_fvggeom_obgeom,at_fire,all,label.next_period.thesis_confirmed,0.6942,5151.0000,3384.0000,301.8273,0.0892,0.5461,19.0992,6.0000,3384.0000,-274.0121,-0.0810,0.4353,285.1350,0.0000,362.0000,30.8376,0.0852,0.5718,natural,301.8273,0.0892,6.0000,30.8376,True,
