_ts,y_true,p_test,threshold,pnl_r
2025-03-26 22:00:00+00:00,1,0.8879,0.7000,1.0000
2025-03-26 22:00:00+00:00,1,0.8406,0.7000,1.0000
2025-03-30 22:00:00+00:00,1,0.8574,0.7000,1.0000
2025-03-30 22:00:00+00:00,1,0.8925,0.7000,1.0000
2025-03-30 22:00:00+00:00,1,0.8775,0.7000,1.0000
2025-03-30 22:00:00+00:00,1,0.8574,0.7000,1.0000
2025-03-30 22:00:00+00:00,1,0.8925,0.7000,1.0000
2025-03-30 22:00:00+00:00,1,0.8775,0.7000,1.0000
2025-04-02 22:00:00+00:00,1,0.8740,0.7000,1.0000
2025-04-02 22:00:00+00:00,1,0.8306,0.7000,1.0000
2025-04-02 22:02:00+00:00,1,0.8603,0.7000,1.0000
2025-04-06 22:00:00+00:00,1,0.8980,0.7000,1.0000
2025-04-06 22:00:00+00:00,1,0.9215,0.7000,1.0000
2025-04-06 22:00:00+00:00,1,0.8920,0.7000,1.0000
2025-04-06 22:00:00+00:00,1,0.8980,0.7000,1.0000
2025-04-06 22:00:00+00:00,1,0.9215,0.7000,1.0000
2025-04-06 22:00:00+00:00,1,0.8920,0.7000,1.0000
2025-04-09 22:00:00+00:00,1,0.8664,0.7000,1.0000
2025-04-09 22:00:00+00:00,1,0.7746,0.7000,1.0000
2025-04-09 22:00:00+00:00,1,0.8523,0.7000,1.0000
2025-04-10 22:00:00+00:00,0,0.8495,0.7000,-1.0000
2025-04-10 22:00:00+00:00,0,0.8563,0.7000,-1.0000
2025-04-15 22:00:00+00:00,1,0.8520,0.7000,1.0000
2025-04-15 22:00:00+00:00,1,0.8656,0.7000,1.0000
2025-04-15 22:00:00+00:00,1,0.8429,0.7000,1.0000
2025-04-23 22:00:00+00:00,1,0.8036,0.7000,1.0000
2025-04-27 22:00:00+00:00,1,0.8151,0.7000,1.0000
2025-04-27 22:00:00+00:00,1,0.8384,0.7000,1.0000
2025-04-27 22:00:00+00:00,1,0.8736,0.7000,1.0000
2025-04-27 22:00:00+00:00,1,0.8151,0.7000,1.0000
2025-04-27 22:00:00+00:00,1,0.8384,0.7000,1.0000
2025-04-27 22:00:00+00:00,1,0.8736,0.7000,1.0000
2025-04-28 22:00:00+00:00,1,0.7565,0.7000,1.0000
2025-04-28 22:00:00+00:00,1,0.7885,0.7000,1.0000
2025-04-29 22:00:00+00:00,1,0.7745,0.7000,1.0000
2025-04-29 22:00:00+00:00,1,0.8211,0.7000,1.0000
2025-04-30 22:00:00+00:00,0,0.7902,0.7000,-1.0000
2025-04-30 22:00:00+00:00,0,0.7321,0.7000,-1.0000
2025-05-01 22:00:00+00:00,1,0.7924,0.7000,1.0000
2025-05-01 22:00:00+00:00,1,0.7128,0.7000,1.0000
2025-05-04 22:00:00+00:00,1,0.8310,0.7000,1.0000
2025-05-04 22:00:00+00:00,1,0.8583,0.7000,1.0000
2025-05-04 22:00:00+00:00,1,0.7964,0.7000,1.0000
2025-05-04 22:00:00+00:00,1,0.8310,0.7000,1.0000
2025-05-04 22:00:00+00:00,1,0.8583,0.7000,1.0000
2025-05-04 22:00:00+00:00,1,0.7964,0.7000,1.0000
2025-05-05 22:00:00+00:00,1,0.7945,0.7000,1.0000
2025-05-05 22:00:00+00:00,1,0.7136,0.7000,1.0000
2025-05-06 22:00:00+00:00,0,0.8513,0.7000,-1.0000
2025-05-06 22:00:00+00:00,0,0.7142,0.7000,-1.0000
2025-05-07 22:00:00+00:00,1,0.8197,0.7000,1.0000
2025-05-07 22:00:00+00:00,1,0.7608,0.7000,1.0000
2025-05-07 22:00:00+00:00,1,0.7319,0.7000,1.0000
2025-05-12 22:00:00+00:00,1,0.7358,0.7000,1.0000
2025-05-14 22:00:00+00:00,1,0.8367,0.7000,1.0000
2025-05-14 22:00:00+00:00,1,0.7470,0.7000,1.0000
2025-05-14 22:00:00+00:00,1,0.8359,0.7000,1.0000
2025-05-18 22:00:00+00:00,1,0.8986,0.7000,1.0000
2025-05-18 22:00:00+00:00,1,0.9314,0.7000,1.0000
2025-05-18 22:00:00+00:00,1,0.8503,0.7000,1.0000
2025-05-18 22:00:00+00:00,1,0.8986,0.7000,1.0000
2025-05-18 22:00:00+00:00,1,0.9314,0.7000,1.0000
2025-05-18 22:00:00+00:00,1,0.8503,0.7000,1.0000
2025-05-19 22:00:00+00:00,1,0.7968,0.7000,1.0000
2025-05-19 22:00:00+00:00,1,0.7106,0.7000,1.0000
2025-05-19 22:00:00+00:00,1,0.7225,0.7000,1.0000
2025-05-21 22:00:00+00:00,0,0.7300,0.7000,-1.0000
2025-05-26 22:00:00+00:00,1,0.7490,0.7000,1.0000
2025-05-26 22:00:00+00:00,0,0.7663,0.7000,-1.0000
2025-05-28 22:00:00+00:00,1,0.7535,0.7000,1.0000
2025-05-28 22:00:00+00:00,1,0.7261,0.7000,1.0000
2025-05-29 22:00:00+00:00,1,0.7355,0.7000,1.0000
2025-06-01 22:00:00+00:00,1,0.8717,0.7000,1.0000
2025-06-01 22:00:00+00:00,1,0.9099,0.7000,1.0000
2025-06-01 22:00:00+00:00,1,0.8716,0.7000,1.0000
2025-06-01 22:00:00+00:00,1,0.8717,0.7000,1.0000
2025-06-01 22:00:00+00:00,1,0.9099,0.7000,1.0000
2025-06-01 22:00:00+00:00,1,0.8716,0.7000,1.0000
2025-06-05 22:00:00+00:00,1,0.8423,0.7000,1.0000
2025-06-05 22:00:00+00:00,1,0.8508,0.7000,1.0000
2025-06-05 22:00:00+00:00,1,0.8497,0.7000,1.0000
2025-06-10 22:00:00+00:00,0,0.7081,0.7000,-1.0000
2025-06-11 22:00:00+00:00,1,0.7095,0.7000,1.0000
2025-06-11 22:00:00+00:00,1,0.8236,0.7000,1.0000
2025-06-11 22:00:00+00:00,1,0.7569,0.7000,1.0000
2025-06-15 22:00:00+00:00,1,0.8601,0.7000,1.0000
2025-06-15 22:00:00+00:00,1,0.8795,0.7000,1.0000
2025-06-15 22:00:00+00:00,1,0.8421,0.7000,1.0000
2025-06-15 22:00:00+00:00,1,0.8795,0.7000,1.0000
2025-06-15 22:00:00+00:00,1,0.8421,0.7000,1.0000
2025-06-15 22:00:00+00:00,1,0.8601,0.7000,1.0000
2025-06-17 22:00:00+00:00,1,0.7562,0.7000,1.0000
2025-06-17 22:00:00+00:00,1,0.8436,0.7000,1.0000
2025-06-17 22:00:00+00:00,1,0.7972,0.7000,1.0000
2025-06-22 22:00:00+00:00,1,0.9009,0.7000,1.0000
2025-06-22 22:00:00+00:00,1,0.8456,0.7000,1.0000
2025-06-22 22:00:00+00:00,1,0.8369,0.7000,1.0000
2025-06-22 22:00:00+00:00,1,0.8369,0.7000,1.0000
2025-06-22 22:00:00+00:00,1,0.9009,0.7000,1.0000
2025-06-22 22:00:00+00:00,1,0.8456,0.7000,1.0000
2025-06-25 22:00:00+00:00,1,0.7033,0.7000,1.0000
2025-06-25 22:00:00+00:00,1,0.7273,0.7000,1.0000
2025-06-29 22:00:00+00:00,0,0.8485,0.7000,-1.0000
