variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-22 04:00:00+00:00,2021-11-22 04:03:00+00:00,4708.7500,2021-11-22 08:03:00+00:00,4708.0000,time_exit,3.0402,4702.6696,4723.9509,-0.7500,-0.1233
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-22 07:00:00+00:00,2021-11-22 07:03:00+00:00,16614.5000,2021-11-22 11:03:00+00:00,16634.7500,time_exit,9.2545,16595.9911,16660.7723,20.2500,1.0941
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-22 14:00:00+00:00,2021-11-22 14:02:00+00:00,4712.7500,2021-11-22 14:49:00+00:00,4729.4911,target,3.3482,4706.0536,4729.4911,16.7411,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-22 15:00:00+00:00,2021-11-22 15:02:00+00:00,16745.2500,2021-11-22 15:56:00+00:00,16708.1429,stop,18.5536,16708.1429,16838.0179,-37.1071,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-22 15:00:00+00:00,2021-11-22 15:02:00+00:00,4736.7500,2021-11-22 16:08:00+00:00,4727.5000,stop,4.6250,4727.5000,4759.8750,-9.2500,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-22 16:00:00+00:00,2021-11-22 16:03:00+00:00,16694.5000,2021-11-22 16:43:00+00:00,16591.6429,target,20.5714,16735.6429,16591.6429,102.8571,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-22 20:00:00+00:00,2021-11-22 20:05:00+00:00,4725.7500,2021-11-22 20:56:00+00:00,4685.8393,target,7.9821,4741.7143,4685.8393,39.9107,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-22 23:00:00+00:00,2021-11-22 23:03:00+00:00,16405.5000,2021-11-23 03:03:00+00:00,16359.2500,time_exit,54.0268,16513.5536,16135.3661,46.2500,0.4280
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-22 23:00:00+00:00,2021-11-22 23:03:00+00:00,4686.5000,2021-11-23 03:03:00+00:00,4680.2500,time_exit,9.4821,4705.4643,4639.0893,6.2500,0.3296
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-23 00:00:00+00:00,2021-11-23 00:02:00+00:00,16390.0000,2021-11-23 04:02:00+00:00,16350.7500,time_exit,50.3839,16490.7679,16138.0804,39.2500,0.3895
