test_year,signal_name,fire_ts,symbol,anchor_side,p_test,y_true,direction_rule
2022,ogap_gap_down_rejection,2022-02-20 23:00:00+00:00,ES.c.0,gap_down,0.9509,1,fixed_short
2022,ogap_gap_down_rejection,2022-02-20 23:00:00+00:00,ES.c.0,gap_down,0.9509,1,fixed_short
2022,ogap_gap_down_rejection,2022-02-27 23:00:00+00:00,ES.c.0,gap_down,0.9437,1,fixed_short
2022,ogap_gap_down_rejection,2022-02-27 23:00:00+00:00,ES.c.0,gap_down,0.9437,1,fixed_short
2022,ogap_gap_down_rejection,2022-03-06 23:00:00+00:00,NQ.c.0,gap_down,0.9595,1,fixed_short
2022,ogap_gap_down_rejection,2022-03-06 23:00:00+00:00,ES.c.0,gap_down,0.9432,1,fixed_short
2022,ogap_gap_down_rejection,2022-03-06 23:00:00+00:00,YM.c.0,gap_down,0.9371,1,fixed_short
2022,ogap_gap_down_rejection,2022-03-06 23:00:00+00:00,NQ.c.0,gap_down,0.9595,1,fixed_short
2022,ogap_gap_down_rejection,2022-03-06 23:00:00+00:00,ES.c.0,gap_down,0.9432,1,fixed_short
2022,ogap_gap_down_rejection,2022-03-06 23:00:00+00:00,YM.c.0,gap_down,0.9371,1,fixed_short
2022,ogap_gap_down_rejection,2022-04-28 22:00:00+00:00,ES.c.0,gap_down,0.9296,1,fixed_short
2022,ogap_gap_down_rejection,2022-05-08 22:00:00+00:00,ES.c.0,gap_down,0.9608,1,fixed_short
2022,ogap_gap_down_rejection,2022-05-08 22:00:00+00:00,ES.c.0,gap_down,0.9608,1,fixed_short
2022,ogap_gap_down_rejection,2022-05-29 22:00:00+00:00,YM.c.0,gap_down,0.9233,1,fixed_short
2022,ogap_gap_down_rejection,2022-06-12 22:00:00+00:00,NQ.c.0,gap_down,0.9256,1,fixed_short
2022,ogap_gap_down_rejection,2022-06-12 22:00:00+00:00,ES.c.0,gap_down,0.9765,1,fixed_short
2022,ogap_gap_down_rejection,2022-06-12 22:00:00+00:00,NQ.c.0,gap_down,0.9256,1,fixed_short
2022,ogap_gap_down_rejection,2022-06-12 22:00:00+00:00,ES.c.0,gap_down,0.9765,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-21 22:00:00+00:00,NQ.c.0,gap_down,0.9420,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-21 22:00:00+00:00,ES.c.0,gap_down,0.9522,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-21 22:00:00+00:00,YM.c.0,gap_down,0.9352,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-21 22:00:00+00:00,NQ.c.0,gap_down,0.9420,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-21 22:00:00+00:00,ES.c.0,gap_down,0.9522,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-21 22:00:00+00:00,YM.c.0,gap_down,0.9352,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-28 22:00:00+00:00,ES.c.0,gap_down,0.9430,1,fixed_short
2022,ogap_gap_down_rejection,2022-08-28 22:00:00+00:00,ES.c.0,gap_down,0.9430,1,fixed_short
2022,ogap_gap_down_rejection,2022-10-02 22:00:00+00:00,ES.c.0,gap_down,0.9268,1,fixed_short
2022,ogap_gap_down_rejection,2022-10-02 22:00:00+00:00,ES.c.0,gap_down,0.9268,1,fixed_short
2022,ogap_gap_down_rejection,2022-10-25 22:00:00+00:00,ES.c.0,gap_down,0.9462,1,fixed_short
2022,ogap_gap_down_rejection,2022-10-30 22:00:00+00:00,NQ.c.0,gap_down,0.9241,1,fixed_short
2022,ogap_gap_down_rejection,2022-10-30 22:00:00+00:00,ES.c.0,gap_down,0.9396,1,fixed_short
2022,ogap_gap_down_rejection,2022-10-30 22:00:00+00:00,NQ.c.0,gap_down,0.9241,1,fixed_short
2022,ogap_gap_down_rejection,2022-10-30 22:00:00+00:00,ES.c.0,gap_down,0.9396,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-06 23:00:00+00:00,ES.c.0,gap_down,0.9657,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-06 23:00:00+00:00,ES.c.0,gap_down,0.9657,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-27 23:00:00+00:00,NQ.c.0,gap_down,0.9757,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-27 23:00:00+00:00,ES.c.0,gap_down,0.9556,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-27 23:00:00+00:00,YM.c.0,gap_down,0.9445,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-27 23:00:00+00:00,NQ.c.0,gap_down,0.9757,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-27 23:00:00+00:00,ES.c.0,gap_down,0.9556,1,fixed_short
2022,ogap_gap_down_rejection,2022-11-27 23:00:00+00:00,YM.c.0,gap_down,0.9445,1,fixed_short
2023,ogap_gap_down_rejection,2023-01-29 23:00:00+00:00,YM.c.0,gap_down,0.8547,1,fixed_short
2023,ogap_gap_down_rejection,2023-01-29 23:00:00+00:00,YM.c.0,gap_down,0.8547,1,fixed_short
