signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
smt_pd_high_thesis,2024,NQ.c.0,high,short,2024-04-02 07:00:00+00:00,0.9554,1,2024-04-02 07:04:00+00:00,18488.0000,2024-04-02 07:07:00+00:00,18495.4464,stop,7.4464,18495.4464,18473.1071,-7.4464,-1.0000
smt_pd_high_thesis,2024,NQ.c.0,high,short,2024-04-30 02:00:00+00:00,0.9744,1,2024-04-30 02:02:00+00:00,17910.7500,2024-04-30 02:21:00+00:00,17915.4464,stop,4.6964,17915.4464,17901.3571,-4.6964,-1.0000
smt_pd_high_thesis,2024,NQ.c.0,high,short,2024-05-30 12:00:00+00:00,0.9537,1,2024-05-30 12:03:00+00:00,18741.5000,2024-05-30 12:07:00+00:00,18749.3393,stop,7.8393,18749.3393,18725.8214,-7.8393,-1.0000
smt_pd_high_thesis,2024,YM.c.0,high,short,2024-10-15 01:00:00+00:00,0.9640,1,2024-10-15 01:06:00+00:00,43409.0000,2024-10-15 01:13:00+00:00,43418.2143,stop,9.2143,43418.2143,43390.5714,-9.2143,-1.0000
smt_pd_high_thesis,2024,YM.c.0,high,short,2024-10-21 00:00:00+00:00,0.9551,1,2024-10-21 00:02:00+00:00,43567.0000,2024-10-21 00:55:00+00:00,43573.6429,stop,6.6429,43573.6429,43553.7143,-6.6429,-1.0000
smt_pd_high_thesis,2024,NQ.c.0,high,short,2024-10-23 00:00:00+00:00,0.9612,1,2024-10-23 00:02:00+00:00,20528.0000,2024-10-23 00:05:00+00:00,20535.6964,stop,7.6964,20535.6964,20512.6071,-7.6964,-1.0000
smt_pd_high_thesis,2024,YM.c.0,high,short,2024-12-05 01:00:00+00:00,0.9601,1,2024-12-05 01:02:00+00:00,45082.0000,2024-12-05 01:08:00+00:00,45089.7857,stop,7.7857,45089.7857,45066.4286,-7.7857,-1.0000
smt_pd_high_thesis,2024,ES.c.0,high,short,2024-12-08 23:00:00+00:00,0.9849,1,2024-12-08 23:04:00+00:00,6096.0000,2024-12-08 23:06:00+00:00,6097.6429,stop,1.6429,6097.6429,6092.7143,-1.6429,-1.0000
smt_pd_high_thesis,2024,ES.c.0,high,short,2024-12-09 07:00:00+00:00,0.9852,1,2024-12-09 07:02:00+00:00,6096.0000,2024-12-09 07:20:00+00:00,6096.7679,stop,0.7679,6096.7679,6094.4643,-0.7679,-1.0000
smt_pd_high_thesis,2024,ES.c.0,high,short,2024-12-17 01:00:00+00:00,0.9657,1,2024-12-17 01:02:00+00:00,6070.7500,2024-12-17 01:04:00+00:00,6071.8571,stop,1.1071,6071.8571,6068.5357,-1.1071,-1.0000
smt_pd_high_thesis,2024,ES.c.0,high,short,2024-12-18 00:00:00+00:00,0.9593,1,2024-12-18 00:11:00+00:00,6052.5000,2024-12-18 01:11:00+00:00,6055.1964,stop,2.6964,6055.1964,6047.1071,-2.6964,-1.0000
smt_pd_high_thesis,2025,YM.c.0,high,short,2025-02-20 00:00:00+00:00,0.9688,1,2025-02-20 00:03:00+00:00,44663.0000,2025-02-20 00:56:00+00:00,44674.5714,stop,11.5714,44674.5714,44639.8571,-11.5714,-1.0000
smt_pd_high_thesis,2025,NQ.c.0,high,short,2025-03-06 04:00:00+00:00,0.9668,1,2025-03-06 04:03:00+00:00,20623.0000,2025-03-06 04:17:00+00:00,20632.5893,stop,9.5893,20632.5893,20603.8214,-9.5893,-1.0000
smt_pd_high_thesis,2025,YM.c.0,high,short,2025-03-09 22:00:00+00:00,0.9554,1,2025-03-09 22:03:00+00:00,42599.0000,2025-03-09 22:04:00+00:00,42637.3571,stop,38.3571,42637.3571,42522.2857,-38.3571,-1.0000
smt_pd_high_thesis,2025,NQ.c.0,high,short,2025-03-10 02:00:00+00:00,0.9584,1,2025-03-10 02:04:00+00:00,20139.7500,2025-03-10 03:04:00+00:00,20146.5000,time_exit,18.7321,20158.4821,20102.2857,-6.7500,-0.3603
smt_pd_high_thesis,2025,ES.c.0,high,short,2025-05-21 00:00:00+00:00,0.9888,1,2025-05-21 00:03:00+00:00,5954.2500,2025-05-21 00:07:00+00:00,5949.8571,target,2.1964,5956.4464,5949.8571,4.3929,2.0000
smt_pd_high_thesis,2025,ES.c.0,high,short,2025-05-28 10:00:00+00:00,0.9778,1,2025-05-28 10:05:00+00:00,5925.5000,2025-05-28 10:12:00+00:00,5927.9643,stop,2.4643,5927.9643,5920.5714,-2.4643,-1.0000
smt_pd_high_thesis,2025,NQ.c.0,high,short,2025-07-29 00:00:00+00:00,0.9712,1,2025-07-29 00:02:00+00:00,23519.2500,2025-07-29 00:03:00+00:00,23524.1607,stop,4.9107,23524.1607,23509.4286,-4.9107,-1.0000
smt_pd_high_thesis,2025,ES.c.0,high,short,2025-07-31 00:00:00+00:00,0.9785,1,2025-07-31 00:04:00+00:00,6441.2500,2025-07-31 00:18:00+00:00,6442.8929,stop,1.6429,6442.8929,6437.9643,-1.6429,-1.0000
