config,test_year,n,cum_r,win_rate
v5_stop2.0_tgt4.0_tw180,2021,79,4.2709,0.4557
v5_stop2.0_tgt4.0_tw180,2022,99,11.2340,0.4444
v5_stop2.0_tgt4.0_tw180,2023,110,6.3122,0.5000
v5_stop2.0_tgt4.0_tw180,2024,121,36.1328,0.5207
v5_stop2.0_tgt4.0_tw180,2025,118,-48.2320,0.2542
v5_stop1.0_tgt2.5_tw240,2020,102,80.0000,0.5098
v5_stop1.0_tgt2.5_tw240,2021,79,30.6203,0.4051
v5_stop1.0_tgt2.5_tw240,2022,99,-29.0000,0.2020
v5_stop1.0_tgt2.5_tw240,2023,110,7.9483,0.3545
v5_stop1.0_tgt2.5_tw240,2024,121,43.9591,0.4380
v5_stop1.0_tgt2.5_tw240,2025,118,-69.0000,0.1186
v5_stop1.0_tgt3.0_tw240,2020,102,91.3607,0.4706
v5_stop1.0_tgt3.0_tw240,2021,79,22.7778,0.3544
v5_stop1.0_tgt3.0_tw240,2022,99,-19.0000,0.2020
v5_stop1.0_tgt3.0_tw240,2023,110,15.1513,0.3545
v5_stop1.0_tgt3.0_tw240,2024,121,61.4591,0.4380
v5_stop1.0_tgt3.0_tw240,2025,118,-62.0000,0.1186
v5_stop1.0_tgt3.5_tw240,2020,102,103.8792,0.4706
v5_stop1.0_tgt3.5_tw240,2021,79,30.7778,0.3544
v5_stop1.0_tgt3.5_tw240,2022,99,-27.0000,0.1616
v5_stop1.0_tgt3.5_tw240,2023,110,3.7174,0.3182
v5_stop1.0_tgt3.5_tw240,2024,121,58.2909,0.4050
v5_stop1.0_tgt3.5_tw240,2025,118,-55.0000,0.1186
v5_stop1.0_tgt4.0_tw240,2020,102,119.7615,0.4706
v5_stop1.0_tgt4.0_tw240,2021,79,18.7778,0.3038
v5_stop1.0_tgt4.0_tw240,2022,99,-55.9515,0.1212
v5_stop1.0_tgt4.0_tw240,2023,110,9.7174,0.3182
v5_stop1.0_tgt4.0_tw240,2024,121,71.7909,0.4050
v5_stop1.0_tgt4.0_tw240,2025,118,-48.0000,0.1186
v5_stop1.25_tgt2.5_tw240,2020,102,70.0000,0.5490
v5_stop1.25_tgt2.5_tw240,2021,79,24.6520,0.4557
v5_stop1.25_tgt2.5_tw240,2022,99,-39.0000,0.2020
v5_stop1.25_tgt2.5_tw240,2023,110,10.7901,0.4273
v5_stop1.25_tgt2.5_tw240,2024,121,64.2986,0.6033
v5_stop1.25_tgt2.5_tw240,2025,118,-63.4791,0.1864
v5_stop1.25_tgt3.0_tw240,2020,102,80.6885,0.5098
v5_stop1.25_tgt3.0_tw240,2021,79,31.1781,0.4557
v5_stop1.25_tgt3.0_tw240,2022,99,-31.0000,0.2020
v5_stop1.25_tgt3.0_tw240,2023,110,16.6165,0.4273
v5_stop1.25_tgt3.0_tw240,2024,121,79.8986,0.6033
v5_stop1.25_tgt3.0_tw240,2025,118,-57.8791,0.1864
v5_stop1.25_tgt3.5_tw240,2020,102,90.6064,0.5098
v5_stop1.25_tgt3.5_tw240,2021,79,39.1781,0.4557
v5_stop1.25_tgt3.5_tw240,2022,99,-38.2000,0.1616
v5_stop1.25_tgt3.5_tw240,2023,110,6.6693,0.3909
v5_stop1.25_tgt3.5_tw240,2024,121,62.9640,0.5372
v5_stop1.25_tgt3.5_tw240,2025,118,-52.2791,0.1864
v5_stop1.25_tgt4.0_tw240,2020,102,103.3123,0.5098
v5_stop1.25_tgt4.0_tw240,2021,79,30.3781,0.4051
v5_stop1.25_tgt4.0_tw240,2022,99,-62.1612,0.1212
v5_stop1.25_tgt4.0_tw240,2023,110,11.4693,0.3909
v5_stop1.25_tgt4.0_tw240,2024,121,73.7640,0.5372
v5_stop1.25_tgt4.0_tw240,2025,118,-46.6791,0.1864
v5_stop1.5_tgt2.5_tw240,2020,102,62.0000,0.5882
v5_stop1.5_tgt2.5_tw240,2021,79,13.3767,0.4557
v5_stop1.5_tgt2.5_tw240,2022,99,-13.6667,0.3232
v5_stop1.5_tgt2.5_tw240,2023,110,18.3669,0.5000
v5_stop1.5_tgt2.5_tw240,2024,121,49.9942,0.6033
v5_stop1.5_tgt2.5_tw240,2025,118,-54.1535,0.2542
v5_stop1.5_tgt3.0_tw240,2020,102,68.0191,0.5490
v5_stop1.5_tgt3.0_tw240,2021,79,18.8151,0.4557
