matrix,snapshot,side,label,n_filtered,n_folds_ok,gpu_mean_auc,gpu_min_auc,gpu_top_lift,gpu_base_rate,cpu_mean_auc,cpu_min_auc,cpu_top_lift,cpu_base_rate,delta_mean_auc,delta_top_lift,status,elapsed_s
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime_strict,at_fire,gap_up,label.strict.next_240m.filled_then_continued_through,4565,6,0.7366359166543813,0.6522419186652763,0.18971596317563624,0.6745126323029592,0.737845102104613,0.6598800834202293,0.19273223702524342,0.6745126323029592,-0.0012091854502316313,-0.003016273849607176,ok,19.6
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_240m.range_expanded_2x_gap,9438,6,0.9728837129995599,0.9606070751032251,0.09908732588092571,0.9009126741190743,0.9743327134944831,0.9646780303030303,0.09908732588092571,0.9009126741190743,-0.0014490004949232471,0.0,ok,30.1
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.range_expanded_2x_gap,9438,6,0.9524877491086303,0.928954139795453,0.18891539469216054,0.8110846053078394,0.9532004105257829,0.9409159012442186,0.18891539469216054,0.8110846053078394,-0.0007126614171525381,0.0,ok,34.5
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.resistance_rejection_3bar,9438,6,0.9469541045975184,0.9224264705882353,0.6127979622787602,0.2911919525793203,0.9422902565424572,0.9217371323529411,0.618463149281391,0.2911919525793203,0.004663848055061148,-0.005665187002630856,ok,25.3
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.support_rejection_3bar,9438,6,0.9175660151293591,0.9030100729625143,0.542542808718436,0.36279825499020496,0.9124012363804556,0.895985584733997,0.5345492602051284,0.36279825499020496,0.005164778748903531,0.00799354851330758,ok,21.1
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_240m.unfilled_at_window_end,9438,6,0.8453720202487306,0.8106564975560424,0.5258194054641606,0.22454565199215915,0.8368205398236755,0.8051365245238498,0.534001994190643,0.22454565199215915,0.008551480425055047,-0.008182588726482365,ok,22.6
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_240m.fully_filled,9438,6,0.8453720202487305,0.8106564975560424,0.1976465496839587,0.7754543480078407,0.8368205398236755,0.8051365245238497,0.19954564438216252,0.7754543480078407,0.008551480425054936,-0.0018990946982038182,ok,22.3
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_240m.unfilled_at_window_end,4873,6,0.832499034497595,0.7257554184464484,0.5206135235448782,0.21794544324471157,0.8328948533700138,0.737778832463218,0.5043623643555454,0.21794544324471157,-0.0003958188724187961,0.016251159189332842,ok,22.9
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_down,label.next_240m.fully_filled,4873,6,0.8324990344975949,0.7257554184464483,0.18735754160646123,0.7820545567552886,0.8328948533700137,0.7377788324632178,0.18282797784297136,0.7820545567552886,-0.0003958188724187961,0.004529563763489869,ok,23.1
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.fully_filled,4565,6,0.829485359719687,0.7829964026954451,0.27611296282558945,0.6637098686639087,0.8317284997324491,0.7834983498349835,0.290060974690268,0.6637098686639087,-0.002243140012762157,-0.013948011864678533,ok,19.9
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_60m.unfilled_at_window_end,4565,6,0.829485359719687,0.782996402695445,0.4910627626834693,0.33629013133609137,0.8317284997324489,0.7834983498349835,0.5064347363887763,0.33629013133609137,-0.002243140012761935,-0.015371973705307018,ok,20.2
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.fully_filled,9438,6,0.8300110047208605,0.7898936170212766,0.2733712408152837,0.6709647304025403,0.8273556144346713,0.7894883485309018,0.2674391999211779,0.6709647304025403,0.0026553902861892187,0.005932040894105817,ok,24.9
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,all,label.next_60m.unfilled_at_window_end,9438,6,0.8300110047208605,0.7898936170212766,0.5418442775150135,0.32903526959745966,0.8273556144346713,0.7894883485309017,0.5624140358615896,0.32903526959745966,0.0026553902861892187,-0.02056975834657604,ok,24.7
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_240m.unfilled_at_window_end,4565,6,0.8340529216084867,0.7474643991394324,0.497592949886062,0.22681982869338316,0.8222303527537904,0.7335314004712632,0.4599105705370161,0.22681982869338316,0.011822568854696236,0.03768237934904589,ok,17.0
opening_gap_snapshots_xctx_gapctx_obgeom_liqgeom_regime,at_fire,gap_up,label.next_240m.fully_filled,4565,6,0.8340529216084868,0.7474643991394324,0.22064698918721035,0.7731801713066169,0.8222303527537903,0.7335314004712633,0.206416389539944,0.7731801713066169,0.011822568854696458,0.014230599647266334,ok,17.1
