entry_time,entry_price,exit_time,exit_price,stop,tp,risk,direction,exit_reason,pnl_r,fvg_high,fvg_low,quarter,month,hour
2024-07-22 10:47,20002.25,2024-07-22 10:51,19964.5,19964.5,20115.5,37.75,BULLISH,SL,-1.0,19990.25,19969.5,2024Q3,2024-07,10
2024-07-23 09:55,19996.0,2024-07-23 10:02,19977.25,19977.25,20052.25,18.75,BULLISH,SL,-1.0,19992.5,19982.25,2024Q3,2024-07,9
2024-07-23 11:05,19984.75,2024-07-23 11:07,20000.75,20000.75,19936.75,16.0,BEARISH,SL,-1.0,19995.75,19983.0,2024Q3,2024-07,11
2024-07-25 10:33,19080.75,2024-07-25 10:37,19112.75,19112.75,18984.75,32.0,BEARISH,SL,-1.0,19107.75,19041.0,2024Q3,2024-07,10
2024-07-25 11:45,19176.0,2024-07-25 12:14,19288.5,19138.5,19288.5,37.5,BULLISH,3R,3.0,19150.25,19143.5,2024Q3,2024-07,11
2024-07-26 10:03,19145.0,2024-07-26 10:05,19097.0,19161.0,19097.0,16.0,BEARISH,3R,3.0,19156.0,19145.5,2024Q3,2024-07,10
2024-07-26 11:11,19133.5,2024-07-26 11:12,19140.0,19140.0,19114.0,6.5,BEARISH,SL,-1.0,19135.0,19099.25,2024Q3,2024-07,11
2024-07-29 13:23,19306.0,2024-07-29 13:29,19266.25,19266.25,19425.25,39.75,BULLISH,SL,-1.0,19297.0,19271.25,2024Q3,2024-07,13
2024-07-30 13:16,18885.25,2024-07-30 13:22,18907.25,18907.25,18819.25,22.0,BEARISH,SL,-1.0,18902.25,18882.0,2024Q3,2024-07,13
2024-07-31 13:48,19408.5,2024-07-31 13:50,19427.25,19402.25,19427.25,6.25,BULLISH,3R,3.0,19414.75,19407.25,2024Q3,2024-07,13
2024-08-01 09:44,19627.0,2024-08-01 10:05,19590.5,19590.5,19736.5,36.5,BULLISH,SL,-1.0,19606.75,19595.5,2024Q3,2024-08,9
2024-08-01 10:14,19604.5,2024-08-01 10:16,19554.25,19554.25,19755.25,50.25,BULLISH,SL,-1.0,19598.5,19559.25,2024Q3,2024-08,10
2024-08-02 10:31,18519.25,2024-08-02 11:00,18406.0,18557.0,18406.0,37.75,BEARISH,3R,3.0,18552.0,18513.75,2024Q3,2024-08,10
2024-08-02 10:52,18515.25,2024-08-02 11:36,18557.0,18557.0,18390.0,41.75,BEARISH,SL,-1.0,18552.0,18513.75,2024Q3,2024-08,10
2024-08-05 13:44,18127.5,2024-08-05 14:01,18027.75,18160.75,18027.75,33.25,BEARISH,3R,3.0,18155.75,18141.75,2024Q3,2024-08,13
2024-08-06 13:16,18414.25,2024-08-06 15:01,18364.0,18364.0,18565.0,50.25,BULLISH,SL,-1.0,18410.0,18369.0,2024Q3,2024-08,13
2024-08-06 12:26,18330.25,2024-08-06 14:26,18451.75,18264.75,18526.75,65.5,BULLISH,timeout,1.8549618320610688,18322.75,18269.75,2024Q3,2024-08,12
2024-08-07 10:21,18469.0,2024-08-07 10:25,18455.75,18455.75,18508.75,13.25,BULLISH,SL,-1.0,18472.5,18460.75,2024Q3,2024-08,10
2024-08-12 13:24,18673.25,2024-08-12 13:26,18647.75,18681.75,18647.75,8.5,BEARISH,3R,3.0,18676.75,18643.25,2024Q3,2024-08,13
2024-08-12 13:30,18653.75,2024-08-12 15:30,18631.25,18681.75,18569.75,28.0,BEARISH,timeout,0.8035714285714286,18676.75,18643.25,2024Q3,2024-08,13
2024-08-13 13:28,19063.75,2024-08-13 13:46,19029.0,19029.0,19168.0,34.75,BULLISH,SL,-1.0,19059.5,19034.0,2024Q3,2024-08,13
2024-08-13 13:49,19040.75,2024-08-13 13:50,19029.0,19029.0,19076.0,11.75,BULLISH,SL,-1.0,19059.5,19034.0,2024Q3,2024-08,13
2024-08-20 13:32,19790.25,2024-08-20 13:43,19801.0,19801.0,19758.0,10.75,BEARISH,SL,-1.0,19796.0,19789.25,2024Q3,2024-08,13
2024-08-20 12:08,19848.25,2024-08-20 12:36,19796.5,19865.5,19796.5,17.25,BEARISH,3R,3.0,19860.5,19849.5,2024Q3,2024-08,12
2024-08-21 12:28,19836.75,2024-08-21 12:30,19843.25,19843.25,19817.25,6.5,BEARISH,SL,-1.0,19838.25,19824.75,2024Q3,2024-08,12
2024-08-22 12:15,19743.25,2024-08-22 12:26,19810.75,19810.75,19540.75,67.5,BEARISH,SL,-1.0,19805.75,19732.0,2024Q3,2024-08,12
2024-08-23 11:20,19789.25,2024-08-23 11:26,19800.5,19800.5,19755.5,11.25,BEARISH,SL,-1.0,19795.5,19757.75,2024Q3,2024-08,11
2024-08-26 11:26,19618.75,2024-08-26 13:26,19617.5,19646.0,19537.0,27.25,BEARISH,timeout,0.045871559633027525,19641.0,19619.25,2024Q3,2024-08,11
2024-08-26 11:44,19611.75,2024-08-26 13:44,19567.75,19646.0,19509.0,34.25,BEARISH,timeout,1.2846715328467153,19641.0,19619.25,2024Q3,2024-08,11
2024-08-27 11:35,19597.25,2024-08-27 11:40,19587.0,19587.0,19628.0,10.25,BULLISH,SL,-1.0,19623.0,19592.0,2024Q3,2024-08,11
2024-08-27 12:16,19638.5,2024-08-27 13:28,19670.75,19670.75,19541.75,32.25,BEARISH,SL,-1.0,19665.75,19630.75,2024Q3,2024-08,12
2024-08-28 09:36,19619.75,2024-08-28 09:45,19564.25,19638.25,19564.25,18.5,BEARISH,3R,3.0,19633.25,19626.25,2024Q3,2024-08,9
2024-08-28 11:54,19418.5,2024-08-28 12:56,19459.5,19459.5,19295.5,41.0,BEARISH,SL,-1.0,19454.5,19389.0,2024Q3,2024-08,11
2024-09-03 12:19,19192.0,2024-09-03 12:20,19188.25,19193.25,19188.25,1.25,BEARISH,3R,3.0,19188.25,19183.25,2024Q3,2024-09,12
2024-09-05 12:51,18937.25,2024-09-05 12:52,18923.25,18923.25,18979.25,14.0,BULLISH,SL,-1.0,18929.25,18928.25,2024Q3,2024-09,12
2024-09-09 10:22,18643.5,2024-09-09 10:24,18627.5,18627.5,18691.5,16.0,BULLISH,SL,-1.0,18636.75,18632.5,2024Q3,2024-09,10
2024-09-09 13:48,18671.0,2024-09-09 13:56,18660.5,18660.5,18702.5,10.5,BULLISH,SL,-1.0,18666.25,18665.5,2024Q3,2024-09,13
2024-09-10 09:41,18743.0,2024-09-10 09:43,18728.75,18728.75,18785.75,14.25,BULLISH,SL,-1.0,18734.5,18733.75,2024Q3,2024-09,9
2024-09-10 11:43,18741.5,2024-09-10 11:44,18731.5,18731.5,18771.5,10.0,BULLISH,SL,-1.0,18740.5,18736.5,2024Q3,2024-09,11
2024-09-11 09:33,18882.5,2024-09-11 09:34,18870.25,18870.25,18919.25,12.25,BULLISH,SL,-1.0,18891.25,18875.25,2024Q3,2024-09,9
2024-09-12 10:38,19301.75,2024-09-12 10:59,19272.5,19272.5,19389.5,29.25,BULLISH,SL,-1.0,19293.75,19277.5,2024Q3,2024-09,10
2024-09-13 13:38,19545.75,2024-09-13 14:25,19503.25,19503.25,19673.25,42.5,BULLISH,SL,-1.0,19536.5,19508.25,2024Q3,2024-09,13
2024-09-13 10:03,19461.5,2024-09-13 10:30,19432.25,19432.25,19549.25,29.25,BULLISH,SL,-1.0,19460.0,19437.25,2024Q3,2024-09,10
2024-09-16 13:25,19380.25,2024-09-16 13:28,19367.5,19367.5,19418.5,12.75,BULLISH,SL,-1.0,19374.0,19372.5,2024Q3,2024-09,13
2024-09-16 11:21,19381.0,2024-09-16 13:21,19366.0,19412.0,19288.0,31.0,BEARISH,timeout,0.4838709677419355,19407.0,19390.0,2024Q3,2024-09,11
2024-09-18 09:42,19464.5,2024-09-18 09:43,19460.25,19460.25,19477.25,4.25,BULLISH,SL,-1.0,19477.5,19465.25,2024Q3,2024-09,9
2024-09-19 09:38,19784.25,2024-09-19 09:50,19765.5,19765.5,19840.5,18.75,BULLISH,SL,-1.0,19791.75,19770.5,2024Q3,2024-09,9
2024-09-19 12:02,19880.0,2024-09-19 12:05,19901.75,19872.75,19901.75,7.25,BULLISH,3R,3.0,19882.25,19877.75,2024Q3,2024-09,12
2024-09-24 12:29,20191.25,2024-09-24 14:13,20142.0,20142.0,20339.0,49.25,BULLISH,SL,-1.0,20186.0,20147.0,2024Q3,2024-09,12
2024-09-25 10:31,20227.0,2024-09-25 11:29,20201.0,20201.0,20305.0,26.0,BULLISH,SL,-1.0,20223.5,20206.0,2024Q3,2024-09,10
